,online_order,book_table,rate(?/5),votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
12279,Yes,No,4.0,1098,Ulsoor,Casual Dining,"Kerala, Seafood",1300,Dine-out,Frazer Town
12280,No,No,4.0,25,Vasanth Nagar,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages",1100,Dine-out,Frazer Town
12281,Yes,No,4.3,654,Cunningham Road,"Cafe, Dessert Parlor","Cafe, Desserts",750,Dine-out,Frazer Town
12282,No,Yes,4.5,550,Ulsoor,Casual Dining,"Malaysian, Singaporean, Thai",1800,Dine-out,Frazer Town
12283,No,No,4.2,164,Ulsoor,Cafe,"Cafe, Salad, Desserts, Pizza",750,Dine-out,Frazer Town
12284,Yes,No,4.3,570,Ulsoor,Cafe,"Cafe, Continental, Italian, Burger, Beverages",700,Dine-out,Frazer Town
12285,Yes,No,4.2,858,Ulsoor,Casual Dining,"Thai, Asian",1800,Dine-out,Frazer Town
12286,No,Yes,4.1,80,Ulsoor,Fine Dining,"Japanese, Chinese, Thai",3000,Dine-out,Frazer Town
12287,No,Yes,4.0,324,Cunningham Road,Lounge,"North Indian, Mughlai, Mediterranean",1300,Dine-out,Frazer Town
12288,Yes,Yes,4.2,475,Cunningham Road,Casual Dining,"North Indian, Chinese, Seafood",1700,Dine-out,Frazer Town
12289,Yes,No,4.1,153,Vasanth Nagar,Cafe,"Cafe, Italian",300,Dine-out,Frazer Town
12290,No,No,3.7,42,Ulsoor,Casual Dining,"European, North Indian, South Indian, Seafood, Salad, Asian, Grill",2000,Dine-out,Frazer Town
12291,Yes,No,4.1,391,Cunningham Road,Casual Dining,"Chinese, Continental, North Indian, Mughlai, Steak",600,Dine-out,Frazer Town
12292,Yes,Yes,4.1,765,Ulsoor,"Casual Dining, Bar","American, Mexican, Italian, Steak",1200,Dine-out,Frazer Town
12293,Yes,Yes,4.3,860,Cunningham Road,"Casual Dining, Cafe","Continental, Cafe, Desserts, Salad, Momos",1000,Dine-out,Frazer Town
12294,Yes,No,4.2,740,Cunningham Road,Cafe,"Cafe, Continental, Italian, Burger",750,Dine-out,Frazer Town
12295,Yes,No,4.3,148,Ulsoor,Casual Dining,"Biryani, North Indian, Kebab",650,Dine-out,Frazer Town
12296,Yes,No,4.3,904,Ulsoor,Casual Dining,Japanese,2000,Dine-out,Frazer Town
12297,No,Yes,3.9,49,Ulsoor,Fine Dining,North Indian,3000,Dine-out,Frazer Town
12298,Yes,Yes,4.3,226,MG Road,"Bar, Casual Dining",Asian,2000,Dine-out,Frazer Town
12299,Yes,No,4.0,176,Ulsoor,Casual Dining,"Biryani, Kebab",750,Dine-out,Frazer Town
12300,Yes,No,3.9,462,Ulsoor,"Cafe, Casual Dining","Cafe, American, Continental, Steak",800,Dine-out,Frazer Town
12301,Yes,Yes,4.1,1852,Ulsoor,Cafe,"Cafe, Italian, Burger, American, Steak",650,Dine-out,Frazer Town
12302,Yes,No,4.3,1133,Infantry Road,Cafe,"Cafe, Fast Food, Burger",800,Dine-out,Frazer Town
12303,No,No,3.9,183,Ulsoor,Casual Dining,"North Indian, Continental, South Indian",2200,Dine-out,Frazer Town
12304,Yes,No,3.6,95,Infantry Road,"Cafe, Casual Dining","Cafe, Burger, Italian, Fast Food",650,Dine-out,Frazer Town
12305,Yes,Yes,4.0,378,Cunningham Road,Casual Dining,"North Indian, Chinese, Healthy Food",850,Dine-out,Frazer Town
12306,Yes,No,3.7,66,Ulsoor,Cafe,"Cafe, Mediterranean, Italian, Pizza, Continental",800,Dine-out,Frazer Town
12307,Yes,No,4.2,432,Ulsoor,"Cafe, Bakery","Cafe, Mediterranean, Bakery, Greek, Beverages",700,Dine-out,Frazer Town
12308,Yes,No,3.7,161,Cunningham Road,Casual Dining,"Chinese, Thai",700,Dine-out,Frazer Town
12309,No,No,4.2,115,Ulsoor,"Casual Dining, Cafe","Lebanese, Mediterranean, Cafe",1000,Dine-out,Frazer Town
12310,No,No,2.7,402,MG Road,Pub,"North Indian, Chinese",1000,Dine-out,Frazer Town
12311,Yes,No,3.3,200,Cunningham Road,Casual Dining,Chinese,700,Dine-out,Frazer Town
12312,Yes,No,4.1,402,Cunningham Road,Casual Dining,"North Indian, Mughlai, Arabian, Chinese",750,Dine-out,Frazer Town
12313,Yes,Yes,3.8,91,Cunningham Road,Casual Dining,"North Indian, South Indian, Chinese, Continental",1800,Dine-out,Frazer Town
12314,Yes,No,3.4,63,Banaswadi,Casual Dining,"North Indian, Chinese, Andhra",500,Dine-out,Frazer Town
12315,Yes,No,3.8,207,Cunningham Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,Dine-out,Frazer Town
12316,Yes,No,3.9,87,Ulsoor,Casual Dining,"North Indian, Chinese, Fast Food, Street Food",500,Dine-out,Frazer Town
12317,Yes,Yes,3.8,198,MG Road,Casual Dining,"Italian, European",1600,Dine-out,Frazer Town
12318,No,No,3.8,29,Cunningham Road,Quick Bites,"South Indian, Biryani",400,Dine-out,Frazer Town
12319,Yes,No,3.7,15,Ulsoor,Quick Bites,North Indian,300,Dine-out,Frazer Town
12320,Yes,No,4.2,255,Vasanth Nagar,Cafe,"Cafe, Continental, Fast Food",500,Dine-out,Frazer Town
12321,Yes,No,3.9,104,Ulsoor,Quick Bites,North Indian,150,Dine-out,Frazer Town
12322,Yes,No,3.5,86,RT Nagar,Casual Dining,"Chinese, North Indian",500,Dine-out,Frazer Town
12323,No,No,4.0,107,Cunningham Road,Quick Bites,"Maharashtrian, North Indian",400,Dine-out,Frazer Town
12324,No,No,4.0,62,Ulsoor,Lounge,Finger Food,1500,Dine-out,Frazer Town
12325,Yes,No,3.6,42,Ulsoor,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food",400,Dine-out,Frazer Town
12326,Yes,No,4.1,205,Ulsoor,Quick Bites,"South Indian, North Indian, Chinese, Juices",250,Dine-out,Frazer Town
12327,Yes,No,3.6,113,Nagawara,Quick Bites,"North Indian, Chinese, Arabian, Biryani, Rolls",450,Dine-out,Frazer Town
12328,Yes,No,3.5,24,Vasanth Nagar,Casual Dining,"North Indian, Chinese",450,Dine-out,Frazer Town
12329,Yes,No,4.2,382,Ulsoor,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500,Dine-out,Frazer Town
12330,Yes,No,3.8,31,Ulsoor,Quick Bites,"South Indian, Beverages",200,Dine-out,Frazer Town
12331,No,No,3.6,34,Cunningham Road,Casual Dining,"North Indian, Mughlai, Chinese",700,Dine-out,Frazer Town
12332,Yes,No,3.7,18,MG Road,Quick Bites,South Indian,200,Dine-out,Frazer Town
12333,No,No,3.8,52,Banaswadi,Bar,"Continental, Finger Food",1300,Dine-out,Frazer Town
12334,Yes,No,3.9,134,Vasanth Nagar,Casual Dining,"Seafood, North Indian, Chinese",550,Dine-out,Frazer Town
12335,Yes,Yes,3.8,81,Ulsoor,Casual Dining,"Chinese, Thai",800,Dine-out,Frazer Town
12336,No,Yes,3.9,315,MG Road,Cafe,"Cafe, Continental, Italian",800,Dine-out,Frazer Town
12337,Yes,No,3.8,37,Ulsoor,Casual Dining,"Beverages, Cafe, Desserts, Spanish, Bakery",400,Dine-out,Frazer Town
12338,Yes,No,3.5,57,Vasanth Nagar,Quick Bites,"Chinese, North Indian",150,Dine-out,Frazer Town
12339,No,Yes,3.8,25,Ulsoor,Cafe,"Cafe, North Indian, Fast Food",2200,Dine-out,Frazer Town
12340,Yes,No,3.8,51,Banaswadi,Food Court,South Indian,300,Dine-out,Frazer Town
12341,Yes,No,3.4,7,Ulsoor,Quick Bites,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",500,Dine-out,Frazer Town
12342,No,No,3.4,10,Banaswadi,Cafe,"Cafe, Continental",400,Dine-out,Frazer Town
12343,Yes,No,3.5,20,Cunningham Road,Cafe,"Cafe, Burger",500,Dine-out,Frazer Town
12344,No,Yes,3.9,39,Cunningham Road,Fine Dining,Seafood,2600,Dine-out,Frazer Town
12345,No,No,3.5,13,Cunningham Road,Quick Bites,"South Indian, North Indian, Chinese",250,Dine-out,Frazer Town
12346,Yes,No,3.7,80,Ulsoor,Quick Bites,Arabian,300,Dine-out,Frazer Town
12347,No,No,4.0,53,Cunningham Road,Quick Bites,"Mexican, Fast Food",400,Dine-out,Frazer Town
12348,Yes,No,3.7,43,Ulsoor,Quick Bites,"Beverages, Fast Food",250,Dine-out,Frazer Town
12349,No,No,3.1,46,Cunningham Road,Casual Dining,"Asian, Continental",1000,Dine-out,Frazer Town
12350,No,No,4.0,44,Vasanth Nagar,Cafe,"Cafe, Modern Indian, Pizza, Burger, Desserts",1100,Dine-out,Frazer Town
12351,Yes,No,3.8,96,Ulsoor,Cafe,"Cafe, Continental, Salad",600,Dine-out,Frazer Town
12352,No,No,3.7,61,Cunningham Road,Quick Bites,"Fast Food, Rolls, Momos",200,Dine-out,Frazer Town
12353,No,No,3.8,23,Infantry Road,Casual Dining,"North Indian, South Indian, Chinese, Fast Food",800,Dine-out,Frazer Town
12354,No,No,3.9,61,Banaswadi,Cafe,"Cafe, Fast Food",450,Dine-out,Frazer Town
12355,Yes,No,3.2,9,Vasanth Nagar,"Sweet Shop, Quick Bites","Mithai, Street Food, North Indian",300,Dine-out,Frazer Town
12356,No,Yes,3.9,158,Cunningham Road,Casual Dining,"North Indian, South Indian, Italian, Continental",1100,Dine-out,Frazer Town
12357,No,Yes,3.8,52,Infantry Road,Casual Dining,"Continental, South Indian, North Indian, Asian",1100,Dine-out,Frazer Town
12358,No,No,3.6,11,Cunningham Road,Quick Bites,"South Indian, Chinese",200,Dine-out,Frazer Town
12359,No,No,3.8,149,Cunningham Road,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Dine-out,Frazer Town
12360,Yes,No,3.8,18,Koramangala 5th Block,Cafe,Cafe,500,Dine-out,Frazer Town
12361,Yes,No,3.6,17,Banaswadi,Quick Bites,"South Indian, North Indian, Chinese",250,Dine-out,Frazer Town
12362,Yes,No,3.1,30,Hennur,Quick Bites,"North Indian, Chinese",300,Dine-out,Frazer Town
12363,No,No,3.6,13,Vasanth Nagar,Quick Bites,North Indian,200,Dine-out,Frazer Town
12364,No,No,3.3,6,RT Nagar,Casual Dining,"South Indian, North Indian",450,Dine-out,Frazer Town
12365,Yes,No,3.2,46,Ulsoor,Quick Bites,North Indian,300,Dine-out,Frazer Town
12366,No,No,3.2,4,Cunningham Road,Casual Dining,"Andhra, North Indian, Chinese",600,Dine-out,Frazer Town
12367,No,No,3.9,119,Infantry Road,"Casual Dining, Bar","Seafood, North Indian, Chinese",800,Dine-out,Frazer Town
12368,No,No,3.3,18,RT Nagar,Quick Bites,"North Indian, Chinese",400,Dine-out,Frazer Town
12369,Yes,No,2.9,56,Cunningham Road,Quick Bites,"Fast Food, Rolls",150,Dine-out,Frazer Town
12370,Yes,No,3.6,27,Vasanth Nagar,Quick Bites,Biryani,300,Dine-out,Frazer Town
12371,No,No,3.6,14,Cunningham Road,Bar,"North Indian, South Indian, Chinese, Continental",1500,Dine-out,Frazer Town
12372,No,No,3.1,10,MG Road,Cafe,Cafe,400,Dine-out,Frazer Town
12373,No,No,3.6,32,Vasanth Nagar,Quick Bites,"Mughlai, North Indian",400,Dine-out,Frazer Town
12374,Yes,No,2.8,40,Banaswadi,Food Court,"Tibetan, Momos",400,Dine-out,Frazer Town
12375,No,No,3.3,7,RT Nagar,Quick Bites,"North Indian, Chinese, Fast Food",250,Dine-out,Frazer Town
12376,No,No,3.3,4,Cunningham Road,Quick Bites,"Fast Food, Beverages",200,Dine-out,Frazer Town
12377,No,No,3.2,13,Vasanth Nagar,Quick Bites,"South Indian, Chinese",200,Dine-out,Frazer Town
12378,Yes,No,3.3,33,Banaswadi,Quick Bites,"Fast Food, Burger",500,Dine-out,Frazer Town
12379,Yes,No,3.5,18,RT Nagar,Quick Bites,"North Indian, Chinese, Arabian, Rolls",550,Dine-out,Frazer Town
12380,Yes,No,3.4,8,RT Nagar,Quick Bites,"South Indian, North Indian, Chinese",400,Dine-out,Frazer Town
12381,Yes,No,3.4,24,Cunningham Road,"Bakery, Quick Bites","Bakery, Desserts",400,Dine-out,Frazer Town
12382,No,No,3.4,12,Ulsoor,Quick Bites,South Indian,100,Dine-out,Frazer Town
12383,No,No,3.3,6,MG Road,Quick Bites,"North Indian, Mithai",300,Dine-out,Frazer Town
12384,No,No,3.3,13,Vasanth Nagar,Casual Dining,"North Indian, Continental, South Indian",600,Dine-out,Frazer Town
12385,No,No,3.6,27,Vasanth Nagar,Quick Bites,"South Indian, Chinese, Fast Food",200,Dine-out,Frazer Town
12386,No,No,3.5,10,Vasanth Nagar,Quick Bites,Kerala,250,Dine-out,Frazer Town
12387,No,No,3.2,11,Banaswadi,Quick Bites,"South Indian, North Indian",300,Dine-out,Frazer Town
12388,No,No,3.1,4,Ulsoor,Quick Bites,"Fast Food, North Indian",300,Dine-out,Frazer Town
12389,No,No,3.3,4,Nagawara,Quick Bites,"Juices, Desserts",200,Dine-out,Frazer Town
12390,No,No,3.1,11,Cunningham Road,Quick Bites,"Kerala, South Indian",200,Dine-out,Frazer Town
12391,No,No,3.1,6,Hennur,Quick Bites,"Biryani, Kebab",250,Dine-out,Frazer Town
12392,No,No,3.2,4,Ulsoor,Quick Bites,North Indian,200,Dine-out,Frazer Town
12393,No,No,3.0,25,Vasanth Nagar,Quick Bites,"North Indian, Chinese",400,Dine-out,Frazer Town
12394,No,No,3.5,17,Vasanth Nagar,Quick Bites,"Street Food, North Indian",200,Dine-out,Frazer Town
12395,No,No,3.4,7,MG Road,Quick Bites,Street Food,200,Dine-out,Frazer Town
12396,Yes,No,2.8,56,Vasanth Nagar,Quick Bites,"South Indian, Street Food, Chinese, Fast Food",400,Dine-out,Frazer Town
12397,No,No,3.6,24,Vasanth Nagar,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out,Frazer Town
12398,No,No,3.1,10,Cunningham Road,Casual Dining,"North Indian, Continental, Finger Food",800,Dine-out,Frazer Town
12399,No,No,4.0,580,Frazer Town,"Pub, Casual Dining","Continental, North Indian, Chinese",1500,Drinks & nightlife,Frazer Town
12400,No,No,3.6,31,Frazer Town,Lounge,"Chinese, Continental, North Indian",1400,Drinks & nightlife,Frazer Town
12401,No,No,3.4,6,Shivajinagar,Bar,"South Indian, North Indian",700,Drinks & nightlife,Frazer Town
12402,Yes,Yes,4.7,4678,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe",1300,Drinks & nightlife,Frazer Town
12403,No,Yes,4.3,597,Infantry Road,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",2500,Drinks & nightlife,Frazer Town
12404,No,Yes,4.2,1428,Ulsoor,Pub,"Finger Food, North Indian",1300,Drinks & nightlife,Frazer Town
12405,No,Yes,4.0,324,Cunningham Road,Lounge,"North Indian, Mughlai, Mediterranean",1300,Drinks & nightlife,Frazer Town
12406,No,No,2.7,402,MG Road,Pub,"North Indian, Chinese",1000,Drinks & nightlife,Frazer Town
12407,No,No,4.0,62,Ulsoor,Lounge,Finger Food,1500,Drinks & nightlife,Frazer Town
12408,No,No,3.8,52,Banaswadi,Bar,"Continental, Finger Food",1300,Drinks & nightlife,Frazer Town
12409,No,No,3.6,14,Cunningham Road,Bar,"North Indian, South Indian, Chinese, Continental",1500,Drinks & nightlife,Frazer Town
12410,No,No,4.0,580,Frazer Town,"Pub, Casual Dining","Continental, North Indian, Chinese",1500,Pubs and bars,Frazer Town
12411,No,No,3.8,61,Frazer Town,"Casual Dining, Pub","Chinese, Finger Food, North Indian, Seafood",1000,Pubs and bars,Frazer Town
12412,Yes,Yes,4.0,188,Shivajinagar,"Casual Dining, Bar","North Indian, Lucknowi",1300,Pubs and bars,Frazer Town
12413,No,No,3.4,6,Shivajinagar,Bar,"South Indian, North Indian",700,Pubs and bars,Frazer Town
12414,Yes,Yes,4.7,4678,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe",1300,Pubs and bars,Frazer Town
12415,No,Yes,4.3,597,Infantry Road,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",2500,Pubs and bars,Frazer Town
12416,No,Yes,4.2,1428,Ulsoor,Pub,"Finger Food, North Indian",1300,Pubs and bars,Frazer Town
12417,Yes,Yes,4.2,982,Ulsoor,"Casual Dining, Bar","Goan, Mangalorean, Pizza",1000,Pubs and bars,Frazer Town
12418,Yes,Yes,4.1,765,Ulsoor,"Casual Dining, Bar","American, Mexican, Italian, Steak",1200,Pubs and bars,Frazer Town
12419,Yes,Yes,4.3,226,MG Road,"Bar, Casual Dining",Asian,2000,Pubs and bars,Frazer Town
12420,No,No,2.7,402,MG Road,Pub,"North Indian, Chinese",1000,Pubs and bars,Frazer Town
12421,No,No,3.8,52,Banaswadi,Bar,"Continental, Finger Food",1300,Pubs and bars,Frazer Town
12422,No,No,3.6,14,Cunningham Road,Bar,"North Indian, South Indian, Chinese, Continental",1500,Pubs and bars,Frazer Town
12423,Yes,Yes,4.4,4108,Sarjapur Road,"Casual Dining, Bar","Seafood, Goan, North Indian, Continental, Asian",1400,Buffet,HSR
12424,Yes,Yes,4.2,1873,HSR,"Lounge, Casual Dining","Finger Food, Continental, North Indian",1500,Buffet,HSR
12425,Yes,Yes,4.2,1148,HSR,Casual Dining,"Japanese, North Indian, Italian, Korean, Mexican, Thai",1800,Buffet,HSR
12426,Yes,Yes,4.4,3764,HSR,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Buffet,HSR
12427,Yes,No,4.5,188,HSR,Casual Dining,"Lebanese, Turkish",1200,Buffet,HSR
12428,Yes,No,4.3,790,HSR,Casual Dining,"BBQ, Chinese, Japanese, Asian",1000,Buffet,HSR
12429,Yes,No,3.7,829,HSR,Casual Dining,Maharashtrian,850,Buffet,HSR
12430,Yes,No,3.9,3831,HSR,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Buffet,HSR
12431,Yes,No,3.3,292,HSR,Casual Dining,"Bengali, Seafood",600,Buffet,HSR
12432,Yes,Yes,3.9,224,HSR,Casual Dining,"North Indian, Chinese, Street Food",800,Buffet,HSR
12433,No,No,3.9,371,HSR,Casual Dining,"South Indian, North Indian",400,Buffet,HSR
12434,No,Yes,4.4,366,Koramangala 3rd Block,"Cafe, Lounge","Cafe, American, Asian, North Indian",1000,Buffet,HSR
12435,No,Yes,4.7,3614,Koramangala 1st Block,Casual Dining,"North Indian, European, Mediterranean, BBQ, Kebab",1600,Buffet,HSR
12436,No,Yes,4.6,174,Sarjapur Road,"Bar, Casual Dining","Goan, Asian, North Indian, European, Continental",1500,Buffet,HSR
12437,Yes,Yes,4.3,715,Sarjapur Road,Casual Dining,"Italian, Pizza",1500,Buffet,HSR
12438,Yes,Yes,3.2,426,Electronic City,Casual Dining,"North Indian, Chinese, Continental, Mangalorean",900,Buffet,HSR
12439,No,Yes,3.0,74,Bommanahalli,Casual Dining,"Asian, Continental, European, Fast Food, North Indian, Mughlai, South Indian",1200,Buffet,HSR
12440,No,No,3.7,51,Bommanahalli,Bar,"Finger Food, Fast Food",1500,Buffet,HSR
12441,No,Yes,3.9,52,Sarjapur Road,Lounge,"Continental, Thai, Vietnamese, American, Chinese, North Indian, Finger Food",1900,Buffet,HSR
12442,Yes,No,4.4,788,HSR,Cafe,"Cafe, Burger, Pizza, Sandwich",700,Cafes,HSR
12443,Yes,Yes,4.2,859,HSR,"Cafe, Casual Dining","Cafe, Tea, Continental, Mediterranean, Italian, Desserts, Beverages",800,Cafes,HSR
12444,Yes,Yes,4.4,3764,HSR,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Cafes,HSR
12445,No,No,4.6,1580,HSR,Cafe,"Cafe, American, Burger, Beverages",750,Cafes,HSR
12446,Yes,Yes,4.0,82,HSR,"Cafe, Dessert Parlor","Cafe, Desserts, Continental",500,Cafes,HSR
12447,Yes,No,4.3,1101,HSR,Cafe,"Cafe, Continental, Pizza, Salad",700,Cafes,HSR
12448,No,No,4.3,112,HSR,"Casual Dining, Cafe","Asian, Thai, North Indian",800,Cafes,HSR
12449,Yes,Yes,4.1,733,HSR,Cafe,"Cafe, Continental, Italian, Beverages, Mediterranean",1200,Cafes,HSR
12450,Yes,No,4.2,140,HSR,Cafe,"Cafe, Continental",800,Cafes,HSR
12451,Yes,No,3.8,47,HSR,Cafe,"Cafe, Burger, Sandwich, Beverages",500,Cafes,HSR
12452,Yes,Yes,4.1,720,HSR,Cafe,"Cafe, Continental, Pizza, Italian, Beverages",950,Cafes,HSR
12453,Yes,No,4.0,128,HSR,Cafe,"Cafe, Italian, Burger, American, Steak",650,Cafes,HSR
12454,Yes,No,4.1,439,HSR,Cafe,"Cafe, Continental, Burger",750,Cafes,HSR
12455,Yes,No,4.0,77,HSR,Cafe,"Cafe, Beverages",300,Cafes,HSR
12456,Yes,No,4.1,564,HSR,Cafe,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",600,Cafes,HSR
12457,Yes,Yes,3.8,499,HSR,"Cafe, Casual Dining","Cafe, Continental, Beverages, Desserts",700,Cafes,HSR
12458,Yes,Yes,4.0,803,HSR,Cafe,"Cafe, Italian, Continental",700,Cafes,HSR
12459,Yes,No,3.9,205,HSR,"Cafe, Bakery","Cafe, Bakery, Fast Food, Desserts",600,Cafes,HSR
12460,Yes,No,3.9,44,HSR,Cafe,"Cafe, Desserts, Fast Food, Burger",300,Cafes,HSR
12461,Yes,No,3.6,484,HSR,"Cafe, Casual Dining","Cafe, Italian, Pizza, Chinese",700,Cafes,HSR
12462,Yes,No,2.8,37,HSR,Cafe,Cafe,400,Cafes,HSR
12463,Yes,No,3.8,204,HSR,"Bakery, Cafe","Continental, Cafe, Desserts, Italian, Bakery",600,Cafes,HSR
12464,Yes,Yes,3.9,202,HSR,Cafe,"Cafe, North Indian, Fast Food",500,Cafes,HSR
12465,No,No,2.6,49,HSR,Cafe,"Cafe, Fast Food",450,Cafes,HSR
12466,Yes,No,3.4,7,South Bangalore,Delivery,"Fast Food, Burger, Desserts, Cafe",300,Cafes,HSR
12467,Yes,No,3.7,15,HSR,Cafe,"Cafe, Chinese, Continental",500,Cafes,HSR
12468,No,No,3.8,36,HSR,Cafe,Cafe,650,Cafes,HSR
12469,Yes,No,3.1,101,HSR,Cafe,"Cafe, Italian, Continental, European, Biryani, Chinese",650,Cafes,HSR
12470,Yes,Yes,4.0,390,HSR,"Cafe, Casual Dining","Cafe, Continental, Salad, Italian",1300,Cafes,HSR
12471,No,No,3.9,56,HSR,Cafe,"Cafe, Sandwich, Fast Food, Beverages, Desserts",350,Cafes,HSR
12472,No,No,2.5,113,HSR,Cafe,Cafe,550,Cafes,HSR
12473,Yes,No,3.7,59,HSR,Cafe,"Cafe, Fast Food, North Indian",600,Cafes,HSR
12474,No,No,3.5,15,HSR,Cafe,"Cafe, Fast Food",250,Cafes,HSR
12475,No,No,3.8,63,HSR,Cafe,"Cafe, Italian, European",1000,Cafes,HSR
12476,Yes,No,3.9,92,HSR,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Cafes,HSR
12477,No,No,3.3,6,HSR,Cafe,"Cafe, Continental, Italian",600,Cafes,HSR
12478,No,No,3.6,17,HSR,Cafe,"Cafe, Burger, Continental, Chinese",500,Cafes,HSR
12479,No,No,3.7,85,HSR,Cafe,"Cafe, Italian, Beverages",500,Cafes,HSR
12480,Yes,Yes,4.1,1847,Koramangala 1st Block,Cafe,"Cafe, American, Italian, Burger",600,Cafes,HSR
12481,Yes,Yes,4.4,190,Koramangala 3rd Block,Cafe,Cafe,1000,Cafes,HSR
12482,No,No,3.9,22,Whitefield,Quick Bites,"Cafe, Fast Food, Pizza, Burger, Beverages",200,Cafes,HSR
12483,Yes,No,3.7,455,HSR,"Takeaway, Delivery","North Indian, Chinese",400,Delivery,HSR
12484,Yes,No,4.1,723,Koramangala 6th Block,Delivery,"Pizza, Italian, Beverages",700,Delivery,HSR
12485,Yes,No,4.1,373,Koramangala 1st Block,"Takeaway, Delivery","North Indian, Biryani",500,Delivery,HSR
12486,Yes,No,3.1,223,BTM,Delivery,"North Indian, Chinese",500,Delivery,HSR
12487,Yes,No,3.9,184,HSR,Casual Dining,"Chinese, North Indian, Biryani",600,Delivery,HSR
12488,Yes,No,3.7,503,Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese",500,Delivery,HSR
12489,Yes,No,3.6,112,Koramangala 2nd Block,Delivery,"North Indian, Chinese",400,Delivery,HSR
12490,Yes,No,3.7,46,Sarjapur Road,Delivery,"Biryani, North Indian",600,Delivery,HSR
12491,Yes,No,4.1,209,Koramangala 4th Block,Quick Bites,"Continental, Pizza, Chinese",400,Delivery,HSR
12492,Yes,No,4.0,195,Koramangala 6th Block,Delivery,"Thai, Chinese",500,Delivery,HSR
12493,Yes,No,3.2,22,Bommanahalli,"Takeaway, Delivery","South Indian, North Indian, Chinese",500,Delivery,HSR
12494,Yes,No,3.6,39,HSR,"Takeaway, Delivery","North Indian, Chinese, Fast Food",300,Delivery,HSR
12495,Yes,No,3.0,238,Indiranagar,Delivery,Pizza,500,Delivery,HSR
12496,Yes,No,4.1,292,Koramangala 6th Block,Quick Bites,"Burger, Pizza, Momos",600,Delivery,HSR
12497,Yes,No,4.0,353,Sarjapur Road,Delivery,"North Indian, Chinese, Biryani",500,Delivery,HSR
12498,Yes,No,3.5,435,Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese, Continental",500,Delivery,HSR
12499,Yes,No,3.8,47,HSR,Cafe,"Cafe, Burger, Sandwich, Beverages",500,Delivery,HSR
12500,Yes,No,3.2,19,HSR,Delivery,"North Indian, Chinese",300,Delivery,HSR
12501,Yes,No,3.7,24,Bellandur,"Beverage Shop, Quick Bites","Beverages, Ice Cream, Sandwich, Fast Food",250,Delivery,HSR
12502,Yes,No,3.7,62,HSR,"Takeaway, Delivery","Continental, American",500,Delivery,HSR
12503,Yes,No,3.0,175,HSR,Delivery,"Chinese, North Indian",450,Delivery,HSR
12504,Yes,No,3.7,74,Koramangala 6th Block,Delivery,Pizza,600,Delivery,HSR
12505,Yes,No,2.6,54,HSR,Delivery,"Italian, Pizza",600,Delivery,HSR
12506,Yes,No,3.2,12,Bommanahalli,Casual Dining,"North Indian, Biryani, Seafood",700,Delivery,HSR
12507,Yes,No,3.9,227,Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese, Continental",450,Delivery,HSR
12508,Yes,No,3.2,42,Koramangala 2nd Block,Delivery,"Chinese, North Indian, Fast Food",350,Delivery,HSR
12509,Yes,No,3.9,95,Koramangala 1st Block,Quick Bites,"North Indian, Fast Food",350,Delivery,HSR
12510,Yes,No,3.1,54,Bommanahalli,Delivery,"Biryani, North Indian, South Indian",500,Delivery,HSR
12511,Yes,No,4.5,1181,BTM,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Delivery,HSR
12512,Yes,No,3.6,41,BTM,Delivery,Bakery,500,Delivery,HSR
12513,Yes,No,3.7,173,HSR,"Takeaway, Delivery","Biryani, Fast Food, North Indian, Chinese",400,Delivery,HSR
12514,Yes,No,4.0,57,HSR,"Takeaway, Delivery","Seafood, BBQ, Biryani",250,Delivery,HSR
12515,Yes,No,3.8,45,HSR,"Takeaway, Delivery","Fast Food, Sandwich",300,Delivery,HSR
12516,Yes,No,3.3,57,HSR,Delivery,"Bengali, North Indian, Chinese",400,Delivery,HSR
12517,Yes,No,4.0,317,HSR,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Delivery,HSR
12518,Yes,No,3.9,153,Bellandur,Beverage Shop,"Beverages, Ice Cream",200,Delivery,HSR
